,Diam,StartNode,EndNode,Length
257,6.05,87,88,187.4060085471678
258,28.18,282,281,514.7487587671782
259,6.95,118,277,168.134392400801
260,7.05,20,329,698.5403826390401
261,7.35,66,228,657.2998391011857
262,36.380001,242,240,250.85910135941538
263,20.360001,337,334,233.6788144533161
264,7.67,156,249,336.8125153114466
265,36.869999,240,234,195.68045187644614
266,23.110001,0,1,423.1494041529983
267,9.66,285,274,242.4615434222314
268,6.21,115,268,183.13227390209093
269,58.84,195,181,236.142050333314
270,55.200001,196,195,112.21833580780647
271,8.91,114,115,74.91133062060877
272,59.189999,197,196,405.414534774194
273,40.41,243,242,317.8497088381944
274,12.1,29,321,560.852177866771
275,5.25,24,25,126.24236356672452
276,19.92,333,332,207.19272283632245
277,6.3,115,255,312.16364665672467
278,26.799999,334,333,181.56532265950506
279,12.69,128,188,156.92626520518888
280,57.919998,382,197,99.78620052199616
281,29.780001,281,280,524.168163872471
282,56.470001,383,382,97.95883932689424
283,55.07,198,383,310.59729483525604
284,9.68,228,227,133.62543912468647
285,55.869999,199,198,162.50328658121515
286,21.74,2,97,153.97187325479604
287,38.810001,209,208,471.5312184358571
288,6.33,67,237,304.76322977883876
289,30.290001,189,281,453.96011782571634
290,6.56,64,232,485.5778613170858
291,29.33,353,317,50.32851740333045
292,47.040001,201,200,560.5708975873509
293,37.73,234,203,656.557647364797
294,5.95,88,221,169.3861555702282
295,32.630001,356,353,1474.0271335531052
296,8.76,99,122,293.9889521712036
297,47.540001,202,201,513.5473296359796
298,13.53,6,7,915.4262625472832
299,26.74,1,2,445.5823691086922
300,20.93,262,258,39.69020314371535
301,7.06,297,296,105.76943663977099
302,5.46,26,154,239.39610143855424
303,24.59,332,325,584.1651082301065
304,6.79,85,157,314.32309090842955
305,46.93,203,202,159.59816882829088
306,37.799999,358,356,271.7474722542545
307,12.85,283,282,192.72965772937124
308,22.049999,2,3,521.8040338394163
309,7.05,313,312,101.90938342443965
310,19.200001,97,98,94.45353030770013
311,22.32,212,211,47.55837053863894
312,47.290001,208,207,283.12869591167663
313,7.05,77,254,112.90194309263774
314,35.299999,274,245,874.3330677970988
315,54.549999,200,199,110.58259272784007
316,42.779999,204,203,99.52520099696429
317,39.459999,360,359,134.67477739765235
318,23.34,213,212,594.0087718615957
319,38.48,359,358,124.82954721688327
320,41.07,207,206,219.3571562559263
321,15.46,219,215,79.36829147239156
322,8.98,121,285,1003.6134935425326
323,9.66,41,42,109.51269597221807
324,35.650002,361,360,214.85915034762422
325,40.860001,205,204,519.6182525095711
326,40.43,206,205,568.2588540020909
327,39.619999,363,362,48.983810191295206
328,34.919998,362,361,163.730782935075
329,13.16,51,52,455.154575568765
330,6.88,32,362,1057.2942397241998
331,39.099998,176,363,222.30787273685456
332,7.24,75,79,286.74807808311306
333,20.219999,3,4,293.90128176907075
334,35.369999,275,274,72.57270769248191
335,6.3,241,240,282.86088948611143
336,16.549999,5,6,901.3542406335324
337,5.92,69,228,196.10409618023954
338,15.98,264,262,215.65176882390324
339,12.78,7,8,43.627704764842626
340,38.98,244,243,889.9744226832587
341,13.47,46,47,260.10292839498265
342,10.47,294,293,269.0569929141725
343,45.509998,316,200,994.2486687314832
344,41.43,245,244,93.29743981290872
345,34.970001,301,208,103.91095238455827
346,36.080002,302,301,93.38687447959806
347,49.669998,317,316,514.9473319173352
348,34.32,304,303,218.78064883174488
349,37.299999,305,304,161.48093102388555
350,36.080002,306,305,94.82165716556362
351,25.219999,211,210,452.8552923189979
352,20.02,4,5,98.44727045435147
353,35.709999,303,302,96.5145955781856
354,16.139999,98,99,230.4812022364297
355,7.13,100,289,164.8163461075818
356,7.44,39,48,47.368903666564535
357,15.94,183,376,253.1612681030826
358,35.139999,307,306,437.74642847341073
