Node,x,y
181,3268.0,2842.0
182,3458.0,2626.0
183,3382.0,3166.0
184,3512.0,3014.0
185,3536.0,2860.0
186,3146.0,2274.0
187,2892.0,2242.0
188,3404.0,2172.0
189,2724.0,1488.0
190,3430.0,1960.0
191,2998.0,2154.0
192,2928.0,1764.0
193,2872.0,1748.0
194,2786.0,1610.0
195,3294.0,1774.0
196,2834.0,412.0
197,2998.0,1274.0
198,3364.0,1042.0
199,2880.0,1130.0
200,3524.0,1258.0
201,3184.0,664.0
202,3522.0,1216.0
203,3318.0,772.0
204,3586.0,824.0
205,2794.0,115.0
206,3132.0,247.0
207,2984.0,89.0
208,3326.0,217.0
209,3556.0,141.0
210,3644.0,43.0
211,3510.0,5892.0
212,4264.0,5618.0
213,4332.0,5518.0
214,4252.0,5764.0
215,3948.0,5668.0
216,4272.0,5432.0
217,4022.0,5418.0
218,3728.0,4922.0
219,3846.0,5020.0
220,4534.0,4546.0
221,3644.0,4466.0
222,3808.0,4930.0
223,3718.0,4160.0
224,3756.0,4222.0
225,3840.0,4446.0
226,3764.0,4644.0
227,3848.0,3548.0
228,4346.0,4072.0
229,4390.0,4078.0
230,4454.0,4012.0
231,3676.0,3658.0
232,3674.0,3694.0
233,3812.0,3550.0
234,3776.0,3454.0
235,3766.0,3434.0
236,4446.0,3966.0
237,4438.0,3896.0
238,4680.0,3536.0
239,4582.0,3556.0
240,4028.0,2872.0
241,4460.0,2932.0
242,3916.0,2260.0
243,3892.0,2274.0
244,3964.0,2682.0
245,4050.0,2720.0
246,4388.0,2458.0
247,4488.0,2734.0
248,4720.0,2890.0
249,4446.0,2712.0
250,4480.0,2792.0
251,4632.0,2378.0
252,3604.0,1592.0
253,3678.0,1414.0
254,3760.0,1306.0
255,3822.0,1320.0
256,3928.0,1386.0
257,4054.0,1430.0
258,4280.0,2190.0
259,4074.0,1440.0
260,4160.0,1472.0
261,4416.0,1370.0
262,4264.0,1988.0
263,4154.0,1390.0
264,4356.0,1166.0
265,4378.0,1032.0
266,3908.0,886.0
267,3846.0,734.0
268,4988.0,4426.0
269,4848.0,3688.0
270,4970.0,3404.0
271,5192.0,3110.0
272,5110.0,2698.0
273,1872.0,2020.0
274,652.0,4592.0
275,1442.0,1822.0
276,1746.0,1428.0
277,2160.0,3134.0
278,2178.0,1442.0
279,2972.0,1258.0
280,3858.0,5010.0
281,4498.0,2812.0
282,5012.0,4370.0
283,5118.0,2740.0
